        Time / ns                i1 (8)/real
               25.408421                  -1.9493471e-05
                25.47226                  -2.0003268e-05
                 25.5361                   -2.010495e-05
               25.599941                  -1.9874826e-05
                25.66378                  -1.9380017e-05
               25.727621                  -1.8679104e-05
               25.791462                   -1.782282e-05
               25.855303                  -1.6854699e-05
               25.919142                  -1.5811762e-05
               25.982983                  -1.4725125e-05
               26.046824                  -1.3620644e-05
               26.110662                  -1.2519483e-05
               26.174503                   -1.143866e-05
               26.238344                  -1.0391576e-05
               26.302183                  -9.3884719e-06
               26.366024                  -8.4368794e-06
               26.429865                   -7.542013e-06
               26.493704                  -6.7071364e-06
               26.557545                  -5.9338772e-06
               26.621386                    -5.22253e-06
               26.685225                  -4.5722973e-06
               26.749065                  -3.9815322e-06
               26.812906                  -3.4479183e-06
               26.876745                  -2.9686476e-06
               26.940586                   -2.540567e-06
               27.004427                  -2.1602909e-06
               27.068266                  -1.8243201e-06
               27.132107                  -1.5291082e-06
               27.195948                  -1.2711429e-06
               27.259787                  -1.0469947e-06
               27.323627                  -8.5336183e-07
               27.387468                  -6.8709681e-07
               27.451307                  -5.4523923e-07
               27.515148                  -4.2502029e-07
               27.578989                  -3.2387825e-07
               27.642828                  -2.3945293e-07
               27.706669                  -1.6959751e-07
                27.77051                  -1.1236042e-07
               27.834351                  -6.5988104e-08
                27.89819                  -2.8911865e-08
                27.96203                   2.6446076e-10
               28.025871                   2.2774906e-08
                28.08971                   3.9700115e-08
               28.153551                   5.1987065e-08
               28.217392                   6.0452926e-08
               28.281231                   6.5800009e-08
               28.345072                   6.8634684e-08
               28.408913                   6.9472634e-08
               28.472752                   6.8739219e-08
               28.536592                   6.6802492e-08
               28.600433                   6.3959313e-08
               28.664272                   6.0453672e-08
               28.728113                   5.6490773e-08
               28.791954                   5.2229478e-08
               28.855793                   4.7798405e-08
               28.919634                   4.3295291e-08
               28.983475                   3.8801318e-08
               29.047314                   3.4370895e-08
               29.111155                   3.0048604e-08
               29.174995                   2.5864983e-08
               29.238834                   2.1837559e-08
               29.302675                    1.798074e-08
               29.366516                   1.4303391e-08
               29.430355                   1.0805478e-08
               29.494196                   7.4906117e-09
               29.558037                   4.3576529e-09
               29.621876                   1.4018919e-09
               29.685717                  -1.3811567e-09
               29.749557                  -3.9899422e-09
               29.813398                  -6.4294228e-09
               29.877237                  -8.6992822e-09
               29.941078                   -1.080286e-08
               30.004919                   -1.273704e-08
               30.068758                   -1.450447e-08
               30.132599                   -1.610247e-08
                30.19644                  -1.7529141e-08
               30.260279                  -1.8780916e-08
                30.32412                  -1.9855779e-08
                30.38796                  -2.0751004e-08
               30.451799                  -2.1464455e-08
                30.51564                  -2.1991124e-08
               30.579481                  -2.2329891e-08
                30.64332                  -2.2481688e-08
               30.707161                  -2.2443015e-08
               30.771002                  -2.2213309e-08
               30.834841                  -2.1796323e-08
               30.898682                  -2.1190635e-08
               30.962523                  -2.0405666e-08
               31.026361                  -1.9440487e-08
               31.090202                  -1.8303936e-08
               31.154043                  -1.7004039e-08
               31.217882                  -1.5550158e-08
               31.281723                  -1.3953733e-08
               31.345564                  -1.2228548e-08
               31.409403                  -1.0386699e-08
               31.473244                  -8.4463281e-09
               31.537085                  -6.4213403e-09
               31.600925                  -4.3324788e-09
               31.664764                  -2.1971154e-09
               31.728605                  -3.7370489e-11
               31.792446                   2.1273112e-09
               31.856285                   4.2730814e-09
               31.920126                   6.3814278e-09
               31.983967                   8.4260767e-09
               32.047806                   1.0388828e-08
               32.111645                   1.2244372e-08
               32.175488                   1.3974002e-08
               32.239326                   1.5557557e-08
               32.303165                   1.6973999e-08
               32.367008                   1.8205153e-08
               32.430847                   1.9237104e-08
               32.494686                   2.0051417e-08
               32.558529                   2.0639067e-08
               32.622368                   2.0985475e-08
               32.686211                   2.1087622e-08
                32.75005                    2.093496e-08
               32.813889                   2.0528596e-08
               32.877731                   1.9861227e-08
                32.94157                   1.8941478e-08
               33.005409                    1.777201e-08
               33.069252                   1.6360278e-08
