        Time / ns                i1 (Mesh Pass=5)/real
                35.30637                  -7.3589014e-08
               35.375462                  -8.7042999e-08
               35.444557                  -9.9743119e-08
               35.513649                  -1.1162356e-07
               35.582741                  -1.2262166e-07
               35.651833                    -1.32693e-07
               35.720924                  -1.4179356e-07
                35.79002                  -1.4989013e-07
               35.859112                  -1.5694965e-07
               35.928204                  -1.6295751e-07
               35.997295                  -1.6789618e-07
               36.066391                  -1.7176076e-07
               36.135483                  -1.7454849e-07
               36.204575                  -1.7626502e-07
               36.273666                  -1.7691524e-07
               36.342762                  -1.7651881e-07
               36.411854                  -1.7509456e-07
               36.480946                  -1.7266298e-07
               36.550037                  -1.6925534e-07
               36.619133                  -1.6489827e-07
               36.688225                  -1.5963604e-07
               36.757317                  -1.5349974e-07
               36.826408                  -1.4653452e-07
               36.895504                  -1.3878345e-07
               36.964596                  -1.3029651e-07
               37.033688                  -1.2112137e-07
               37.102779                  -1.1131232e-07
               37.171871                   -1.009269e-07
               37.240967                  -9.0017913e-08
               37.310059                   -7.864805e-08
                37.37915                  -6.6875671e-08
               37.448242                  -5.4764456e-08
               37.517338                  -4.2376126e-08
                37.58643                  -2.9776826e-08
               37.655521                  -1.7034278e-08
               37.724613                  -4.2137778e-09
               37.793709                    8.621428e-09
               37.862801                   2.1403203e-08
               37.931892                    3.405934e-08
               38.000984                   4.6531316e-08
                38.07008                   5.8748505e-08
               38.139172                   7.0654572e-08
               38.208263                   8.2183561e-08
               38.277355                   9.3272426e-08
               38.346447                   1.0386705e-07
               38.415543                   1.1391144e-07
               38.484634                   1.2334738e-07
               38.553726                   1.3213649e-07
               38.622818                   1.4022827e-07
               38.691914                    1.475802e-07
               38.761005                   1.5415409e-07
               38.830097                   1.5991805e-07
               38.899189                   1.6484243e-07
               38.968285                   1.6890378e-07
               39.037376                   1.7208431e-07
               39.106468                   1.7436851e-07
                39.17556                   1.7574372e-07
               39.244656                    1.762098e-07
               39.313747                   1.7576922e-07
               39.382839                    1.744267e-07
               39.451931                   1.7218979e-07
               39.521027                    1.690797e-07
               39.590118                    1.651142e-07
                39.65921                   1.6031755e-07
               39.728302                   1.5472088e-07
               39.797394                   1.4836245e-07
               39.866489                   1.4127448e-07
               39.935581                   1.3350039e-07
               40.004673                   1.2508507e-07
               40.073765                   1.1608087e-07
                40.14286                   1.0653238e-07
               40.211952                   9.6498987e-08
               40.281044                   8.6037673e-08
               40.350136                   7.5205264e-08
               40.419231                   6.4054518e-08
               40.488323                   5.2659512e-08
               40.557415                   4.1072742e-08
               40.626507                   2.9360478e-08
               40.695602                   1.7582627e-08
               40.764694                   5.8050191e-09
               40.833786                  -5.9103442e-09
               40.902878                  -1.7506382e-08
                40.97197                  -2.8917144e-08
               41.041065                  -4.0087478e-08
               41.110157                  -5.0957706e-08
               41.179249                  -6.1474495e-08
               41.248341                   -7.158696e-08
               41.317436                  -8.1239747e-08
               41.386528                  -9.0389548e-08
                41.45562                  -9.8988131e-08
               41.524712                  -1.0700342e-07
               41.593807                  -1.1438578e-07
               41.662899                   -1.211102e-07
               41.731991                  -1.2714723e-07
               41.801083                  -1.3246631e-07
               41.870178                  -1.3705184e-07
                41.93927                  -1.4087934e-07
               42.008362                   -1.439435e-07
               42.077454                  -1.4623234e-07
               42.146549                   -1.477424e-07
               42.215641                   -1.484734e-07
               42.284733                  -1.4843211e-07
               42.353825                   -1.476283e-07
               42.422916                  -1.4607417e-07
               42.492012                  -1.4379074e-07
               42.561104                  -1.4079409e-07
               42.630196                  -1.3711845e-07
               42.699287                   -1.327857e-07
               42.768383                  -1.2783327e-07
               42.837475                  -1.2229286e-07
               42.906567                   -1.162139e-07
               42.975658                  -1.0962604e-07
               43.044754                  -1.0258067e-07
               43.113846                  -9.5124108e-08
               43.182938                  -8.7304571e-08
               43.252029                  -7.9166746e-08
               43.321125                  -7.0764933e-08
               43.390217                   -6.215091e-08
               43.459309                   -5.337489e-08
                 43.5284                  -4.4488253e-08
               43.597492                  -3.5540392e-08
               43.666588                  -2.6588625e-08
                43.73568                  -1.7673878e-08
               43.804771                  -8.8498506e-09
               43.873863                  -1.5927887e-10
               43.942959                   8.3504856e-09
               44.012051                   1.6636342e-08
               44.081142                   2.4665342e-08
               44.150234                    3.239332e-08
                44.21933                   3.9786634e-08
               44.288422                    4.681997e-08
               44.357513                   5.3455253e-08
               44.426605                    5.967874e-08
               44.495701                   6.5458458e-08
               44.564793                   7.0781233e-08
               44.633884                   7.5635676e-08
               44.702976                   8.0003154e-08
               44.772072                   8.3880003e-08
               44.841164                   8.7259572e-08
               44.910255                    9.014056e-08
               44.979347                   9.2525099e-08
               45.048439                   9.4416031e-08
               45.117535                   9.5821918e-08
               45.186626                    9.675297e-08
               45.255718                   9.7221921e-08
                45.32481                   9.7242207e-08
               45.393906                   9.6830206e-08
               45.462997                   9.6006147e-08
               45.532089                   9.4789385e-08
               45.601181                   9.3201805e-08
               45.670277                   9.1268824e-08
               45.739368                   8.9008168e-08
                45.80846                   8.6451323e-08
               45.877552                   8.3620044e-08
               45.946648                   8.0541746e-08
               46.015739                   7.7243101e-08
               46.084831                   7.3745568e-08
               46.153923                   7.0079196e-08
               46.223015                   6.6270097e-08
                46.29211                   6.2337136e-08
               46.361202                   5.8309869e-08
               46.430294                   5.4210133e-08
               46.499386                   5.0057434e-08
               46.568481                   4.5876241e-08
               46.637573                   4.1687887e-08
               46.706665                   3.7507572e-08
               46.775757                   3.3354269e-08
               46.844852                   2.9244998e-08
               46.913944                   2.5190621e-08
               46.983036                    2.121188e-08
               47.052128                   1.7317229e-08
               47.121223                    1.351331e-08
               47.190315                   9.8168149e-09
               47.259407                   6.2311458e-09
               47.328499                   2.7646416e-09
               47.397594                  -5.7643301e-10
               47.466686                  -3.7899408e-09
               47.535778                  -6.8685289e-09
                47.60487                  -9.8123074e-09
               47.673962                  -1.2623397e-08
               47.743057                   -1.529812e-08
               47.812149                  -1.7836832e-08
               47.881241                  -2.0240881e-08
               47.950333                  -2.2513023e-08
               48.019428                  -2.4659327e-08
                48.08852                  -2.6679597e-08
               48.157612                  -2.8575579e-08
               48.226704                  -3.0358699e-08
               48.295799                  -3.2026065e-08
               48.364891                  -3.3587693e-08
               48.433983                  -3.5048107e-08
               48.503075                  -3.6409844e-08
                48.57217                  -3.7682362e-08
               48.641262                  -3.8869651e-08
               48.710354                  -3.9979472e-08
               48.779446                  -4.1012335e-08
               48.848537                  -4.1979312e-08
               48.917633                  -4.2883961e-08
               48.986725                  -4.3732889e-08
               49.055817                  -4.4527813e-08
               49.124908                  -4.5275851e-08
               49.194004                  -4.5981839e-08
               49.263096                   -4.665182e-08
               49.332188                  -4.7282871e-08
               49.401279                  -4.7884818e-08
               49.470375                  -4.8461914e-08
               49.539467                  -4.9008278e-08
               49.608559                  -4.9532588e-08
                49.67765                  -5.0035482e-08
               49.746746                  -5.0515442e-08
               49.815838                  -5.0969952e-08
                49.88493                  -5.1403685e-08
               49.954021                  -5.1813704e-08
               50.023117                  -5.2197286e-08
               50.092209                  -5.2551378e-08
               50.161301                  -5.2871506e-08
               50.230392                  -5.3156413e-08
               50.299484                  -5.3399475e-08
                50.36858                  -5.3594178e-08
               50.437672                  -5.3737303e-08
               50.506763                  -5.3824472e-08
               50.575855                  -5.3843625e-08
               50.644951                  -5.3789439e-08
               50.714043                  -5.3654833e-08
               50.783134                   -5.343292e-08
               50.852226                  -5.3114633e-08
               50.921322                  -5.2691373e-08
               50.990414                  -5.2160502e-08
               51.059505                  -5.1509478e-08
               51.128597                  -5.0732957e-08
               51.197693                  -4.9824674e-08
               51.266785                  -4.8778936e-08
               51.335876                  -4.7587754e-08
               51.404968                  -4.6253462e-08
               51.474064                   -4.476296e-08
               51.543156                  -4.3121883e-08
               51.612247                  -4.1325418e-08
               51.681339                  -3.9375184e-08
               51.750431                  -3.7268602e-08
               51.819527                  -3.5010956e-08
               51.888618                  -3.2607673e-08
                51.95771                  -3.0057826e-08
               52.026802                  -2.7377219e-08
               52.095898                  -2.4563043e-08
               52.164989                  -2.1630331e-08
               52.234081                  -1.8587711e-08
               52.303173                  -1.5446567e-08
               52.372269                  -1.2219594e-08
                52.44136                  -8.9206909e-09
               52.510452                  -5.5633587e-09
               52.579544                  -2.1630242e-09
                52.64864                    1.266787e-09
               52.717731                   4.7082449e-09
               52.786823                    8.147599e-09
               52.855915                   1.1565518e-08
               52.925007                   1.4949356e-08
               52.994102                   1.8280589e-08
               53.063194                   2.1542153e-08
               53.132286                   2.4724388e-08
               53.201378                   2.7811918e-08
               53.270473                   3.0789622e-08
               53.339565                   3.3644429e-08
