Time (ns)	Input signal	Output signal
52.5	2.51E-23	-52.93644205
52.6	2.03E-23	-54.87159814
52.7	1.62E-23	-56.38825555
52.8	1.27E-23	-57.12434886
52.9	9.84E-24	-57.14941068
53	7.54E-24	-56.40933027
53.1	5.72E-24	-54.61945984
53.2	4.29E-24	-52.04263823
53.3	3.19E-24	-48.37820897
53.4	2.35E-24	-43.71193149
53.5	1.71E-24	-38.0608814
53.6	1.24E-24	-31.21252661
53.7	8.82E-25	-23.45012811
53.8	6.23E-25	-14.55228849
53.9	4.35E-25	-4.739285928
54	3.00E-25	5.988689871
54.1	2.04E-25	17.64154124
54.2	1.36E-25	29.95169093
54.3	8.92E-26	42.95467067
54.4	5.70E-26	56.40606307
54.5	3.52E-26	70.20726422
54.6	2.09E-26	84.18761809
54.7	1.15E-26	98.14797237
54.8	5.63E-27	111.8891344
54.9	2.06E-27	125.2169695
55	-5.62E-34	137.9063325
55.1	-1.09E-27	149.7093434
55.2	-1.57E-27	160.4775904
55.3	-1.70E-27	169.8854256
55.4	-1.62E-27	177.8249507
55.5	-1.45E-27	184.0380256
55.6	-1.24E-27	188.2770731
55.7	-1.02E-27	190.5194429
55.8	-8.25E-28	190.3713141
55.9	-6.52E-28	187.9018196
56	-5.07E-28	182.97845
56.1	-3.89E-28	175.2711151
56.2	-2.94E-28	165.1095928
56.3	-2.20E-28	152.1466327
56.4	-1.63E-28	136.6176477
56.5	-1.19E-28	118.5976107
56.6	-8.62E-29	97.89236831
56.7	-6.19E-29	75.05859339
56.8	-4.40E-29	49.93231253
56.9	-3.09E-29	22.88841711
57	-2.16E-29	-5.673461947
57.1	-1.49E-29	-35.9741245
57.2	-1.01E-29	-67.1239536
57.3	-6.81E-30	-99.07353616
57.4	-4.52E-30	-131.4108669
57.5	-2.95E-30	-163.5564196
57.6	-1.89E-30	-195.5477972
57.7	-1.18E-30	-226.4656544
57.8	-7.21E-31	-256.1822151
57.9	-4.21E-31	-284.2731831
58	-2.32E-31	-310.0644228
58.1	-1.16E-31	-333.5610588
58.2	-4.72E-32	-354.0488247
58.3	-8.34E-33	-371.2697768
58.4	1.18E-32	-385.0013524
58.5	2.08E-32	-394.786426
