        Time / ns                Port1/real
               4.3025773                 -6.3916692e-016
                4.305755                 -6.7925945e-016
               4.3089327                 -7.2187194e-016
               4.3121104                 -7.6713705e-016
                4.315288                 -8.1519356e-016
               4.3184657                 -8.6618714e-016
               4.3216434                 -9.2026895e-016
               4.3248211                 -9.7759648e-016
               4.3279988                  -1.038337e-015
               4.3311764                 -1.1026632e-015
               4.3343541                  -1.170756e-015
               4.3375318                 -1.2428068e-015
               4.3407095                 -1.3190155e-015
               4.3438872                 -1.3995918e-015
               4.3470648                 -1.4847566e-015
               4.3502425                 -1.5747409e-015
               4.3534202                 -1.6697887e-015
               4.3565979                 -1.7701533e-015
               4.3597755                 -1.8760984e-015
               4.3629532                 -1.9879015e-015
               4.3661309                 -2.1058545e-015
               4.3693086                 -2.2302619e-015
               4.3724863                 -2.3614421e-015
               4.3756639                  -2.499729e-015
               4.3788416                 -2.6454753e-015
               4.3820193                 -2.7990488e-015
                4.385197                 -2.9608323e-015
               4.3883747                  -3.131227e-015
               4.3915523                 -3.3106529e-015
                 4.39473                 -3.4995477e-015
               4.3979077                  -3.698372e-015
               4.4010854                 -3.9076064e-015
               4.4042631                 -4.1277547e-015
               4.4074407                 -4.3593421e-015
               4.4106184                 -4.6029204e-015
               4.4137961                 -4.8590684e-015
               4.4169738                  -5.128389e-015
               4.4201514                 -5.4115112e-015
               4.4233291                 -5.7090939e-015
               4.4265068                 -6.0218284e-015
               4.4296845                 -6.3504361e-015
               4.4328622                 -6.6956699e-015
               4.4360398                  -7.058319e-015
               4.4392175                 -7.4392064e-015
               4.4423952                  -7.839194e-015
               4.4455729                 -8.2591791e-015
               4.4487506                 -8.7001044e-015
               4.4519282                 -9.1629501e-015
               4.4551059                 -9.6487426e-015
               4.4582836                 -1.0158556e-014
               4.4614613                  -1.069351e-014
                4.464639                 -1.1254774e-014
               4.4678166                 -1.1843573e-014
               4.4709943                 -1.2461184e-014
                4.474172                 -1.3108944e-014
               4.4773497                 -1.3788247e-014
               4.4805273                  -1.450055e-014
                4.483705                 -1.5247375e-014
               4.4868827                 -1.6030312e-014
               4.4900604                 -1.6851018e-014
               4.4932381                 -1.7711228e-014
               4.4964157                  -1.861275e-014
               4.4995934                 -1.9557475e-014
               4.5027711                 -2.0419126e-014
               4.5059488                  -2.133912e-014
               4.5091265                 -2.2317628e-014
               4.5123041                 -2.3368703e-014
               4.5154818                 -2.4493547e-014
               4.5186595                 -2.5695535e-014
               4.5218372                 -2.6978357e-014
               4.5250149                 -2.8345078e-014
               4.5281925                 -2.9799273e-014
               4.5313702                 -3.1345006e-014
               4.5345479                 -3.2986091e-014
               4.5377256                  -3.472683e-014
               4.5409032                 -3.6571342e-014
