        Time / ns                Port1/real
               3.7888757                 -9.6537076e-016
               3.7941972                 -1.0256525e-015
               3.7995186                 -1.0905162e-015
               3.8048401                 -1.1602845e-015
               3.8101615                 -1.2350939e-015
                3.815483                 -1.3152578e-015
               3.8208044                 -1.4011333e-015
               3.8261259                 -1.4928654e-015
               3.8314473                 -1.5907941e-015
               3.8367688                 -1.6952958e-015
               3.8420902                 -1.8065943e-015
               3.8474117                 -1.9250489e-015
               3.8527332                 -2.0510517e-015
               3.8580546                 -2.1849324e-015
               3.8633761                 -2.3270499e-015
               3.8686975                 -2.4778405e-015
                3.874019                 -2.6377441e-015
               3.8793404                 -2.8071582e-015
               3.8846619                 -2.9865747e-015
               3.8899833                 -3.1764971e-015
               3.8953048                 -3.3774202e-015
               3.9006262                 -3.5899187e-015
               3.9059477                 -3.8145289e-015
               3.9112692                 -4.0518341e-015
               3.9165906                 -4.3025102e-015
               3.9219121                 -4.5671474e-015
               3.9272335                  -4.846411e-015
                3.932555                 -5.1411061e-015
               3.9378764                 -5.4519153e-015
               3.9431979                 -5.7796178e-015
               3.9485193                 -6.1251295e-015
               3.9538408                 -6.4892558e-015
               3.9591622                 -6.8729131e-015
               3.9644837                 -7.2770761e-015
               3.9698052                 -7.7026907e-015
               3.9751266                 -8.1508472e-015
               3.9804481                 -8.6226067e-015
               3.9857695                 -9.1190882e-015
                3.991091                 -9.6415786e-015
               4.0017339                 -1.0732676e-014
               4.0070553                 -1.1218487e-014
               4.0123768                 -1.1752822e-014
               4.0176982                 -1.2330658e-014
               4.0230197                  -1.295695e-014
               4.0283412                 -1.3633524e-014
               4.0336626                 -1.4360455e-014
               4.0389841                 -1.5142314e-014
               4.0443055                 -1.5980398e-014
                4.049627                 -1.6876928e-014
               4.0549484                 -1.7835878e-014
               4.0602699                 -1.8858164e-014
               4.0655913                  -1.994754e-014
               4.0709128                 -2.1108295e-014
               4.0762342                 -2.2341243e-014
               4.0815557                 -2.3650308e-014
               4.0868772                 -2.5039855e-014
               4.0921986                 -2.6511678e-014
               4.0975201                 -2.8069689e-014
               4.1028415                 -2.9718226e-014
                4.108163                  -3.146045e-014
               4.1134844                 -3.3299893e-014
               4.1188059                 -3.5241245e-014
               4.1241273                 -3.7289057e-014
               4.1294488                  -3.944705e-014
               4.1347702                  -4.172038e-014
               4.1400917                  -4.411414e-014
               4.1454132                 -4.6633157e-014
               4.1507346                 -4.9283394e-014
               4.1560561                 -5.2069917e-014
               4.1613775                 -5.4998453e-014
                4.166699                 -5.8075984e-014
               4.1720204                  -6.130779e-014
               4.1773419                 -6.4700315e-014
               4.1826633                 -6.8261839e-014
               4.1879848                 -7.1998473e-014
               4.1933062                 -7.5917665e-014
               4.1986277                 -8.0028646e-014
               4.2039492                 -8.4338678e-014
               4.2092706                 -8.8856496e-014
               4.2145921                 -9.3591345e-014
               4.2199135                 -9.8551772e-014
                4.225235                 -1.0374821e-013
               4.2305564                 -1.0919022e-013
               4.2358779                 -1.1488796e-013
               4.2411993                 -1.2085374e-013
               4.2465208                 -1.2709832e-013
               4.2518422                 -1.3315846e-013
               4.2571637                 -1.3851878e-013
               4.2624852                 -1.4434454e-013
               4.2678066                 -1.5062688e-013
               4.2731281                 -1.5739862e-013
               4.2784495                 -1.6467374e-013
                4.283771                 -1.7244504e-013
               4.2890924                 -1.8075979e-013
               4.2944139                 -1.8962467e-013
               4.2997353                 -1.9905744e-013
               4.3050568                 -2.0909615e-013
               4.3103783                 -2.1974141e-013
               4.3156997                 -2.3102823e-013
               4.3210212                 -2.4299677e-013
               4.3263426                 -2.5564452e-013
               4.3316641                 -2.6900699e-013
               4.3369855                 -2.8312353e-013
                4.342307                 -2.9800159e-013
               4.3476284                  -3.136741e-013
               4.3529499                  -3.301783e-013
               4.3582713                   -3.47536e-013
               4.3635928                 -3.6577283e-013
               4.3689143                 -3.8492797e-013
               4.3742357                 -4.0503742e-013
               4.3795572                 -4.2612616e-013
               4.3848786                  -4.482362e-013
               4.3902001                 -4.7140685e-013
               4.3955215                 -4.9567372e-013
                4.400843                 -5.2108457e-013
               4.4061644                 -5.4767532e-013
               4.4114859                 -5.7548885e-013
               4.4168073                 -6.0458137e-013
               4.4221288                 -6.3498731e-013
               4.4274503                 -6.6675393e-013
               4.4327717                 -6.9994902e-013
               4.4380932                 -7.3461223e-013
               4.4434146                 -7.7079787e-013
               4.4487361                 -8.0858042e-013
               4.4540575                 -8.4800798e-013
                4.459379                 -8.8914501e-013
               4.4700219                 -9.7681081e-013
               4.4806648                 -1.0721214e-012
               4.4913077                 -1.1756571e-012
               4.5019506                  -1.283354e-012
               4.5072721                 -1.3292938e-012
               4.5125935                 -1.3785093e-012
                4.517915                 -1.4315542e-012
               4.5232364                 -1.4884486e-012
               4.5285579                 -1.5492666e-012
               4.5338793                 -1.6138853e-012
               4.5392008                 -1.6826937e-012
               4.5445223                 -1.7556942e-012
               4.5498437                 -1.8329936e-012
               4.5551652                 -1.9148809e-012
               4.5604866                 -2.0012935e-012
               4.5658081                 -2.0924926e-012
               4.5711295                 -2.1887784e-012
                4.576451                 -2.2900476e-012
               4.5817724                  -2.396557e-012
               4.5870939                 -2.5085926e-012
               4.5924153                 -2.6261313e-012
               4.5977368                  -2.749393e-012
               4.6030583                 -2.8786354e-012
               4.6083797                 -3.0139577e-012
               4.6137012                  -3.155497e-012
               4.6190226                 -3.3035146e-012
               4.6296655                 -3.6197631e-012
               4.6403084                 -3.9643176e-012
               4.6509513                 -4.3390617e-012
               4.6615943                 -4.7459201e-012
               4.6722372                 -5.1870738e-012
               4.6828801                 -5.6646038e-012
                4.693523                 -6.1809689e-012
               4.7041659                 -6.7389759e-012
               4.7148088                 -7.3413292e-012
               4.7254517                 -7.9909807e-012
               4.7360946                 -8.6910547e-012
