Time (ns)	Input signal	Output signal
29.9	-0.001821044	-3.056534444
30	-0.001647841	-3.099184035
30.1	-0.001476645	-3.120325625
30.2	-0.001310284	-3.117492247
30.3	-0.001151004	-3.092120662
30.4	-0.001000518	-3.043963464
30.5	-0.000860062	-2.973149083
30.6	-0.00073045	-2.88148687
30.7	-0.000612138	-2.768342704
30.8	-0.000505277	-2.636205005
30.9	-0.00040977	-2.485327295
31	-0.000325307	-2.317876387
31.1	-0.000251418	-2.135555173
31.2	-0.000187509	-1.939296937
31.3	-0.0001329	-1.732391474
31.4	-8.69E-05	-1.514767545
31.5	-4.86E-05	-1.290625498
31.6	-1.73E-05	-1.060260034
31.7	7.70E-06	-0.826336994
31.8	2.72E-05	-0.591838181
31.9	4.20E-05	-0.356312557
32	5.27E-05	-0.124682525
32.1	6.00E-05	0.104423657
32.2	6.43E-05	0.327579924
32.3	6.63E-05	0.542916827
32.4	6.63E-05	0.751295661
32.5	6.49E-05	0.948829072
32.6	6.23E-05	1.137293524
32.7	5.88E-05	1.314577322
32.8	5.48E-05	1.479954626
32.9	5.05E-05	1.634591993
33	4.59E-05	1.77674378
33.1	4.13E-05	1.908036884
33.2	3.68E-05	2.028243152
33.3	3.25E-05	2.137632925
33.4	2.84E-05	2.237575749
33.5	2.46E-05	2.328366347
33.6	2.10E-05	2.411156771
33.7	1.78E-05	2.487130382
33.8	1.50E-05	2.557186968
33.9	1.24E-05	2.622433704
34	1.01E-05	2.684064664
34.1	8.18E-06	2.743196926
34.2	6.49E-06	2.800877601
34.3	5.04E-06	2.857895872
34.4	3.82E-06	2.914876261
34.5	2.81E-06	2.972440602
34.6	1.97E-06	3.031183715
34.7	1.29E-06	3.091299704
34.8	7.51E-07	3.152675962
34.9	3.26E-07	3.215192095
35	-8.31E-12	3.278698312
35.1	-2.43E-07	3.342467463
35.2	-4.16E-07	3.405245112
35.3	-5.33E-07	3.46575746
35.4	-6.05E-07	3.522732853
35.5	-6.41E-07	3.574957315
35.6	-6.50E-07	3.62120848
35.7	-6.38E-07	3.658155897
35.8	-6.11E-07	3.685726096
35.9	-5.73E-07	3.701906561
36	-5.29E-07	3.702623112
36.1	-4.81E-07	3.688805893
36.2	-4.32E-07	3.655493958
36.3	-3.83E-07	3.602986797
36.4	-3.37E-07	3.529572091
36.5	-2.92E-07	3.431977409
36.6	-2.52E-07	3.311387554
36.7	-2.14E-07	3.164153953
36.8	-1.81E-07	2.991371981
36.9	-1.51E-07	2.79149467
37	-1.25E-07	2.564710809
37.1	-1.02E-07	2.311099776
37.2	-8.26E-08	2.030962751
37.3	-6.60E-08	1.725581252
37.4	-5.20E-08	1.394871062
37.5	-4.03E-08	1.042817816
37.6	-3.06E-08	0.66747869
37.7	-2.28E-08	0.274497328
37.8	-1.65E-08	-0.13536763
37.9	-1.14E-08	-0.560392116
38	-7.48E-09	-0.993624823
38.1	-4.44E-09	-1.439211902
38.2	-2.14E-09	-1.88701268
38.3	-4.50E-10	-2.337085029
38.4	7.54E-10	-2.78633867
38.5	1.57E-09	-3.230140575
38.6	2.09E-09	-3.664728381
38.7	2.38E-09	-4.087019585
38.8	2.50E-09	-4.49559616
38.9	2.50E-09	-4.886779038
39	2.41E-09	-5.254519283
39.1	2.26E-09	-5.602451245
39.2	2.07E-09	-5.922006461
39.3	1.87E-09	-6.214565514
39.4	1.66E-09	-6.477161358
39.5	1.45E-09	-6.707016517
39.6	1.26E-09	-6.905617369
39.7	1.08E-09	-7.069202696
39.8	9.12E-10	-7.198947302
39.9	7.65E-10	-7.293382036
40	6.36E-10	-7.352768138
40.1	5.23E-10	-7.377201219
40.2	4.26E-10	-7.367133291
40.3	3.43E-10	-7.323322786
40.4	2.74E-10	-7.246108416
40.5	2.16E-10	-7.137678854
40.6	1.68E-10	-6.997688036
40.7	1.30E-10	-6.829076937
40.8	9.82E-11	-6.632216822
40.9	7.31E-11	-6.408556865
41	5.32E-11	-6.161276213
41.1	3.78E-11	-5.889841387
41.2	2.59E-11	-5.598175548
41.3	1.68E-11	-5.286304667
41.4	1.01E-11	-4.955765672
41.5	5.18E-12	-4.610180123
41.6	1.70E-12	-4.248734985
41.7	-6.91E-13	-3.875334066
41.8	-2.25E-12	-3.4897738
41.9	-3.18E-12	-3.09299619
42	-3.66E-12	-2.688807358
42.1	-3.82E-12	-2.276075687
42.2	-3.76E-12	-1.857982987
42.3	-3.56E-12	-1.435269365
42.4	-3.27E-12	-1.007588605
42.5	-2.93E-12	-0.578220791
42.6	-2.59E-12	-0.146165908
42.7	-2.24E-12	0.284945639
42.8	-1.92E-12	0.71569784
42.9	-1.62E-12	1.143724555
43	-1.35E-12	1.56836416
43.1	-1.12E-12	1.989598006
43.2	-9.14E-13	2.4039546
43.3	-7.40E-13	2.811653061
43.4	-5.94E-13	3.211288306
43.5	-4.71E-13	3.600143208
43.6	-3.71E-13	3.979334529
43.7	-2.88E-13	4.344490625
43.8	-2.22E-13	4.696053628
43.9	-1.69E-13	5.032107086
44	-1.27E-13	5.349931582
44.1	-9.39E-14	5.650775615
44.2	-6.83E-14	5.929892023
44.3	-4.87E-14	6.187930232
44.4	-3.39E-14	6.422816703
44.5	-2.29E-14	6.632139364
44.6	-1.47E-14	6.817373012
44.7	-8.87E-15	6.974133424
44.8	-4.73E-15	7.103396918
44.9	-1.88E-15	7.203355742
45	3.28E-19	7.272825531
45.1	1.18E-15	7.312730872
45.2	1.86E-15	7.320782154
45.3	2.19E-15	7.297968891
45.4	2.28E-15	7.243381683
45.5	2.22E-15	7.157778405
45.6	2.06E-15	7.040970097
45.7	1.86E-15	6.894039313
45.8	1.63E-15	6.717469228
45.9	1.41E-15	6.511977714
46	1.19E-15	6.280249363
46.1	9.94E-16	6.021020178
46.2	8.19E-16	5.739037922
46.3	6.67E-16	5.433600328
46.4	5.38E-16	5.107618707
46.5	4.29E-16	4.764974535
46.6	3.39E-16	4.40390373
46.7	2.65E-16	4.031675474
46.8	2.05E-16	3.647873253
46.9	1.57E-16	3.253472435
47	1.19E-16	2.855036968
47.1	8.95E-17	2.451295536
47.2	6.65E-17	2.050374004
47.3	4.87E-17	1.648190323
47.4	3.52E-17	1.250245978
47.5	2.51E-17	0.863535025
47.6	1.75E-17	0.479003024
47.7	1.19E-17	0.111250064
47.8	7.92E-18	-0.245985262
47.9	5.04E-18	-0.587501406
48	3.03E-18	-0.910504681
48.1	1.65E-18	-1.21828456
48.2	7.31E-19	-1.50307434
48.3	1.41E-19	-1.770223373
48.4	-2.17E-19	-2.014839136
48.5	-4.16E-19	-2.236552516
48.6	-5.07E-19	-2.438744402
48.7	-5.30E-19	-2.616032108
48.8	-5.11E-19	-2.772907105
48.9	-4.68E-19	-2.905948743
49	-4.14E-19	-3.019503715
49.1	-3.56E-19	-3.109878573
49.2	-3.00E-19	-3.181618702
49.3	-2.48E-19	-3.234301066
49.4	-2.02E-19	-3.2660259
49.5	-1.63E-19	-3.284934517
49.6	-1.29E-19	-3.280961225
49.7	-1.02E-19	-3.268083087
49.8	-7.90E-20	-3.238416008
49.9	-6.08E-20	-3.196827396
50	-4.64E-20	-3.140988172
50.1	-3.50E-20	-3.068251884
50.2	-2.62E-20	-2.994643212
50.3	-1.94E-20	-2.904146273
50.4	-1.42E-20	-2.805937047
50.5	-1.03E-20	-2.703796146
50.6	-7.35E-21	-2.580424671
50.7	-5.19E-21	-2.459683343
50.8	-3.61E-21	-2.321868773
50.9	-2.46E-21	-2.178977191
51	-1.65E-21	-2.031444201
51.1	-1.07E-21	-1.867058936
51.2	-6.74E-22	-1.694296188
51.3	-4.03E-22	-1.508861202
51.4	-2.22E-22	-1.318126279
51.5	-1.04E-22	-1.116274547
51.6	-3.14E-23	-0.901891513
51.7	1.18E-23	-0.681563234
51.8	3.50E-23	-0.446957761
51.9	4.55E-23	-0.209602741
52	4.81E-23	0.041717448
52.1	4.61E-23	0.291617021
52.2	4.16E-23	0.548776569
52.3	3.61E-23	0.808030463
52.4	3.05E-23	1.062295872
52.5	2.51E-23	1.32118189
52.6	2.03E-23	1.557442896
52.7	1.62E-23	1.789831448
52.8	1.27E-23	2.002067418
52.9	9.84E-24	2.191426746
53	7.54E-24	2.362230407
53.1	5.72E-24	2.481923932
53.2	4.29E-24	2.577266144
53.3	3.19E-24	2.617760814
53.4	2.35E-24	2.612480503
53.5	1.71E-24	2.557626889
53.6	1.24E-24	2.423198286
53.7	8.82E-25	2.23803657
53.8	6.23E-25	1.970288643
53.9	4.35E-25	1.63466912
54	3.00E-25	1.223541703
54.1	2.04E-25	0.720365808
54.2	1.36E-25	0.149546296
54.3	8.92E-26	-0.512252318
54.4	5.70E-26	-1.243300778
54.5	3.52E-26	-2.051113151
54.6	2.09E-26	-2.934406477
54.7	1.15E-26	-3.87329879
54.8	5.63E-27	-4.8747932
54.9	2.06E-27	-5.916903243
55	-5.62E-34	-6.994538743
55.1	-1.09E-27	-8.096842976
55.2	-1.57E-27	-9.203344724
55.3	-1.70E-27	-10.29984505
55.4	-1.62E-27	-11.37237104
55.5	-1.45E-27	-12.40258901
55.6	-1.24E-27	-13.36980339
55.7	-1.02E-27	-14.25916297
55.8	-8.25E-28	-15.04619834
55.9	-6.52E-28	-15.71677094
56	-5.07E-28	-16.25108908
56.1	-3.89E-28	-16.62691769
56.2	-2.94E-28	-16.83744051
56.3	-2.20E-28	-16.85226351
56.4	-1.63E-28	-16.6738245
56.5	-1.19E-28	-16.28263202
56.6	-8.62E-29	-15.66491774
56.7	-6.19E-29	-14.82958695
56.8	-4.40E-29	-13.75283796
56.9	-3.09E-29	-12.45370467
57	-2.16E-29	-10.92723826
57.1	-1.49E-29	-9.170569306
57.2	-1.01E-29	-7.214489364
57.3	-6.81E-30	-5.051415787
57.4	-4.52E-30	-2.713597899
57.5	-2.95E-30	-0.221053889
57.6	-1.89E-30	2.420567604
57.7	-1.18E-30	5.158640998
57.8	-7.21E-31	7.980394775
57.9	-4.21E-31	10.84932676
58	-2.32E-31	13.72821492
58.1	-1.16E-31	16.58426911
58.2	-4.72E-32	19.37542879
58.3	-8.34E-33	22.06999993
58.4	1.18E-32	24.63254121
58.5	2.08E-32	27.00797947
58.6	2.33E-32	29.18551422
58.7	2.23E-32	31.11057549
58.8	1.97E-32	32.75093456
58.9	1.66E-32	34.09279752
59	1.35E-32	35.08494934
59.1	1.06E-32	35.72448287
59.2	8.22E-33	35.98294828
59.3	6.24E-33	35.83828277
59.4	4.67E-33	35.29906427
59.5	3.45E-33	34.34123274
