Time (ns)	Input signal	Output signal
33.9	1.24E-05	-8.097494902
34	1.01E-05	-8.820590172
34.1	8.18E-06	-9.500066286
34.2	6.49E-06	-10.12460017
34.3	5.04E-06	-10.68282964
34.4	3.82E-06	-11.16127906
34.5	2.81E-06	-11.54958276
34.6	1.97E-06	-11.83353811
34.7	1.29E-06	-12.00608982
34.8	7.51E-07	-12.05039743
34.9	3.26E-07	-11.96384847
35	-8.31E-12	-11.73731672
35.1	-2.43E-07	-11.35150117
35.2	-4.16E-07	-10.81946895
35.3	-5.33E-07	-10.12095481
35.4	-6.05E-07	-9.264768773
35.5	-6.41E-07	-8.250022081
35.6	-6.50E-07	-7.064750261
35.7	-6.38E-07	-5.735639182
35.8	-6.11E-07	-4.248337924
35.9	-5.73E-07	-2.625132143
36	-5.29E-07	-0.880602377
36.1	-4.81E-07	0.998001415
36.2	-4.32E-07	2.959327051
36.3	-3.83E-07	5.013924082
36.4	-3.37E-07	7.124075282
36.5	-2.92E-07	9.264881699
36.6	-2.52E-07	11.4452641
36.7	-2.14E-07	13.59571205
36.8	-1.81E-07	15.72333805
36.9	-1.51E-07	17.79570013
37	-1.25E-07	19.76065942
37.1	-1.02E-07	21.64193689
37.2	-8.26E-08	23.36234616
37.3	-6.60E-08	24.92222586
37.4	-5.20E-08	26.29732793
37.5	-4.03E-08	27.44652141
37.6	-3.06E-08	28.37268727
37.7	-2.28E-08	29.03761308
37.8	-1.65E-08	29.43203635
37.9	-1.14E-08	29.5458389
38	-7.48E-09	29.36119517
38.1	-4.44E-09	28.8744667
38.2	-2.14E-09	28.08471589
38.3	-4.50E-10	26.98510601
38.4	7.54E-10	25.58325641
38.5	1.57E-09	23.89528415
38.6	2.09E-09	21.90609845
38.7	2.38E-09	19.66315328
38.8	2.50E-09	17.16221205
38.9	2.50E-09	14.43045975
39	2.41E-09	11.51643566
39.1	2.26E-09	8.388162449
39.2	2.07E-09	5.139502079
39.3	1.87E-09	1.771463752
39.4	1.66E-09	-1.682959689
39.5	1.45E-09	-5.153856412
39.6	1.26E-09	-8.677761633
39.7	1.08E-09	-12.14034212
39.8	9.12E-10	-15.5525506
39.9	7.65E-10	-18.86614125
40	6.36E-10	-22.0249753
40.1	5.23E-10	-25.04170946
40.2	4.26E-10	-27.8347491
40.3	3.43E-10	-30.40964843
40.4	2.74E-10	-32.73051913
40.5	2.16E-10	-34.75598618
40.6	1.68E-10	-36.49955704
40.7	1.30E-10	-37.91230298
40.8	9.82E-11	-38.99785144
40.9	7.31E-11	-39.74439528
41	5.32E-11	-40.14303007
41.1	3.78E-11	-40.1915252
41.2	2.59E-11	-39.89857261
41.3	1.68E-11	-39.26324487
41.4	1.01E-11	-38.2906829
41.5	5.18E-12	-37.01521541
41.6	1.70E-12	-35.41921004
41.7	-6.91E-13	-33.55516156
41.8	-2.25E-12	-31.4283338
41.9	-3.18E-12	-29.05418834
42	-3.66E-12	-26.49004108
42.1	-3.82E-12	-23.72118485
42.2	-3.76E-12	-20.81632619
42.3	-3.56E-12	-17.78333912
42.4	-3.27E-12	-14.64860197
42.5	-2.93E-12	-11.47871782
42.6	-2.59E-12	-8.243805462
42.7	-2.24E-12	-5.030543825
42.8	-1.92E-12	-1.839256176
42.9	-1.62E-12	1.302933066
43	-1.35E-12	4.347834643
43.1	-1.12E-12	7.303902155
43.2	-9.14E-13	10.11766888
43.3	-7.40E-13	12.78670811
43.4	-5.94E-13	15.29140539
43.5	-4.71E-13	17.6036069
43.6	-3.71E-13	19.72911594
43.7	-2.88E-13	21.64018991
43.8	-2.22E-13	23.33817109
43.9	-1.69E-13	24.81500733
44	-1.27E-13	26.0654027
44.1	-9.39E-14	27.09037853
44.2	-6.83E-14	27.89193022
44.3	-4.87E-14	28.47054404
44.4	-3.39E-14	28.83193316
44.5	-2.29E-14	28.9898985
44.6	-1.47E-14	28.93835608
44.7	-8.87E-15	28.70505157
44.8	-4.73E-15	28.28814561
44.9	-1.88E-15	27.70064389
45	3.28E-19	26.97199264
45.1	1.18E-15	26.08560474
45.2	1.86E-15	25.08679678
45.3	2.19E-15	23.97226765
45.4	2.28E-15	22.75261227
45.5	2.22E-15	21.46745556
45.6	2.06E-15	20.09256786
45.7	1.86E-15	18.67449603
45.8	1.63E-15	17.21717756
45.9	1.41E-15	15.72206384
46	1.19E-15	14.21174599
46.1	9.94E-16	12.69965342
46.2	8.19E-16	11.19189549
46.3	6.67E-16	9.694503221
46.4	5.38E-16	8.220292838
46.5	4.29E-16	6.781770849
46.6	3.39E-16	5.377450658
46.7	2.65E-16	4.020202946
46.8	2.05E-16	2.712707864
46.9	1.57E-16	1.458804748
47	1.19E-16	0.265184108
47.1	8.95E-17	-0.867772431
47.2	6.65E-17	-1.93628539
47.3	4.87E-17	-2.93798035
47.4	3.52E-17	-3.872892967
47.5	2.51E-17	-4.741081907
47.6	1.75E-17	-5.537064521
47.7	1.19E-17	-6.268156452
47.8	7.92E-18	-6.929374258
47.9	5.04E-18	-7.52433914
48	3.03E-18	-8.055401137
48.1	1.65E-18	-8.518108446
48.2	7.31E-19	-8.922973952
48.3	1.41E-19	-9.263172376
48.4	-2.17E-19	-9.545529303
48.5	-4.16E-19	-9.7737717
48.6	-5.07E-19	-9.942558209
48.7	-5.30E-19	-10.06393666
48.8	-5.11E-19	-10.13296722
48.9	-4.68E-19	-10.15527612
49	-4.14E-19	-10.13387694
49.1	-3.56E-19	-10.06982523
49.2	-3.00E-19	-9.966487616
49.3	-2.48E-19	-9.827176232
49.4	-2.02E-19	-9.655334297
49.5	-1.63E-19	-9.448322349
49.6	-1.29E-19	-9.22151531
49.7	-1.02E-19	-8.964784409
49.8	-7.90E-20	-8.690636305
49.9	-6.08E-20	-8.392518894
50	-4.64E-20	-8.078526553
50.1	-3.50E-20	-7.764622955
50.2	-2.62E-20	-7.428525382
50.3	-1.94E-20	-7.093528691
50.4	-1.42E-20	-6.75961514
50.5	-1.03E-20	-6.411327329
50.6	-7.35E-21	-6.09036414
50.7	-5.19E-21	-5.753972985
50.8	-3.61E-21	-5.44310064
50.9	-2.46E-21	-5.138804333
51	-1.65E-21	-4.836578074
51.1	-1.07E-21	-4.583840868
51.2	-6.74E-22	-4.318607972
51.3	-4.03E-22	-4.094237368
51.4	-2.22E-22	-3.882677519
51.5	-1.04E-22	-3.692212449
51.6	-3.14E-23	-3.54302718
51.7	1.18E-23	-3.403388255
51.8	3.50E-23	-3.300627128
51.9	4.55E-23	-3.211644799
52	4.81E-23	-3.160200135
52.1	4.61E-23	-3.114872113
52.2	4.16E-23	-3.101153965
52.3	3.61E-23	-3.101525511
52.4	3.05E-23	-3.10879192
52.5	2.51E-23	-3.162206059
52.6	2.03E-23	-3.160209331
52.7	1.62E-23	-3.207382882
52.8	1.27E-23	-3.227549728
52.9	9.84E-24	-3.233289959
53	7.54E-24	-3.27864319
53.1	5.72E-24	-3.194570486
53.2	4.29E-24	-3.168738105
53.3	3.19E-24	-3.048321014
53.4	2.35E-24	-2.900509847
53.5	1.71E-24	-2.753209723
53.6	1.24E-24	-2.422534655
53.7	8.82E-25	-2.12087958
53.8	6.23E-25	-1.683492534
53.9	4.35E-25	-1.188689425
54	3.00E-25	-0.634831699
54.1	2.04E-25	0.099393007
54.2	1.36E-25	0.857888241
54.3	8.92E-26	1.762471789
54.4	5.70E-26	2.753009675
54.5	3.52E-26	3.853522487
54.6	2.09E-26	5.05918917
54.7	1.15E-26	6.348031548
54.8	5.63E-27	7.755500882
54.9	2.06E-27	9.198762786
55	-5.62E-34	10.77890504
55.1	-1.09E-27	12.32746517
55.2	-1.57E-27	13.9674853
55.3	-1.70E-27	15.60531621
55.4	-1.62E-27	17.21239141
55.5	-1.45E-27	18.89810417
55.6	-1.24E-27	20.31860459
55.7	-1.02E-27	21.79482127
55.8	-8.25E-28	23.06640759
55.9	-6.52E-28	24.17313537
56	-5.07E-28	25.17700626
56.1	-3.89E-28	25.72625214
56.2	-2.94E-28	26.14759368
56.3	-2.20E-28	26.14787612
56.4	-1.63E-28	25.82074334
56.5	-1.19E-28	25.16162354
56.6	-8.62E-29	23.85695701
56.7	-6.19E-29	22.2461083
56.8	-4.40E-29	19.99603465
56.9	-3.09E-29	17.3181746
57	-2.16E-29	14.08239131
57.1	-1.49E-29	10.1996592
57.2	-1.01E-29	5.855041765
57.3	-6.81E-30	0.857022081
57.4	-4.52E-30	-4.587131853
57.5	-2.95E-30	-10.6174975
57.6	-1.89E-30	-17.07498683
57.7	-1.18E-30	-23.95727378
57.8	-7.21E-31	-31.24024751
57.9	-4.21E-31	-38.74116356
58	-2.32E-31	-46.53875815
58.1	-1.16E-31	-54.36335982
58.2	-4.72E-32	-62.17739308
58.3	-8.34E-33	-69.89911423
58.4	1.18E-32	-77.29517341
58.5	2.08E-32	-84.4182416
58.6	2.33E-32	-90.85350668
58.7	2.23E-32	-96.72635102
58.8	1.97E-32	-101.6674546
58.9	1.66E-32	-105.666652
59	1.35E-32	-108.60014
59.1	1.06E-32	-110.0886644
59.2	8.22E-33	-110.3294628
59.3	6.24E-33	-108.898971
59.4	4.67E-33	-105.9363655
59.5	3.45E-33	-101.2474446
59.6	2.52E-33	-94.61491393
59.7	1.81E-33	-86.28244406
59.8	1.30E-33	-75.93483142
59.9	9.15E-34	-63.82385228
60	6.40E-34	-49.87513534
60.1	4.44E-34	-34.00557508
60.2	3.04E-34	-16.60338243
60.3	2.07E-34	2.476891693
60.4	1.39E-34	22.86748389
60.5	9.24E-35	44.45446902
60.6	6.07E-35	67.0948448
60.7	3.93E-35	90.41377824
60.8	2.51E-35	114.1781382
60.9	1.57E-35	138.1457881
61	9.66E-36	161.89419
61.1	5.77E-36	185.1200501
61.2	3.33E-36	207.4319917
61.3	1.82E-36	228.5336438
61.4	9.21E-37	248.0823982
61.5	3.98E-37	265.5555371
61.6	1.10E-37	280.8705807
61.7	-3.78E-38	293.4567892
61.8	-1.03E-37	303.0606447
61.9	-1.23E-37	309.5053344
62	-1.20E-37	312.3504956
62.1	-1.05E-37	311.5173118
62.2	-8.72E-38	306.8388596
62.3	-6.95E-38	298.0581016
62.4	-5.38E-38	285.28825
62.5	-4.07E-38	268.4347472
62.6	-3.02E-38	247.4107589
62.7	-2.21E-38	222.6114193
62.8	-1.59E-38	193.8835025
62.9	-1.13E-38	161.6371295
63	-7.96E-39	126.2771144
63.1	-5.54E-39	87.613285
63.2	-3.81E-39	46.69905826
63.3	-2.60E-39	3.510375603
63.4	-1.76E-39	-41.34660005
63.5	-1.18E-39	-86.98917272
63.6	-7.79E-40	-133.8226709
63.7	-5.11E-40	-180.2456317
63.8	-3.31E-40	-226.1703841
63.9	-2.12E-40	-271.0434942
64	-1.34E-40	-313.9116179
64.1	-8.37E-41	-354.7753833
64.2	-5.13E-41	-392.4605554
64.3	-3.09E-41	-426.8683402
64.4	-1.81E-41	-457.4008277
64.5	-1.03E-41	-483.34802
64.6	-5.58E-42	-504.7627766
64.7	-2.83E-42	-520.8973605
64.8	-1.27E-42	-531.6658091
64.9	-4.26E-43	-536.8599484
65	4.63E-46	-536.2553552
65.1	1.90E-43	-529.7878323
65.2	2.52E-43	-517.6135349
65.3	2.49E-43	-499.5877814
65.4	2.19E-43	-475.9559558
65.5	1.79E-43	-447.2381415
65.6	1.41E-43	-413.0217794
65.7	1.07E-43	-374.5569213
65.8	7.89E-44	-331.6405184
65.9	5.73E-44	-284.7449761
66	4.09E-44	-235.2475882
66.1	2.87E-44	-182.2016145
66.2	2.00E-44	-127.6753534
66.3	1.37E-44	-71.43346065
66.4	9.30E-45	-14.43237535
66.5	6.25E-45	42.27651398
66.6	4.15E-45	99.34496701
66.7	2.74E-45	154.7666558
66.8	1.78E-45	208.5860267
66.9	1.15E-45	260.2474341
67	7.37E-46	308.7574675
67.1	4.66E-46	354.2838337
67.2	2.91E-46	395.7541225
67.3	1.80E-46	433.0877254
67.4	1.10E-46	465.9448775
67.5	6.57E-47	493.8506015
67.6	3.87E-47	516.8036056
67.7	2.22E-47	534.5029509
67.8	1.24E-47	546.9089443
67.9	6.66E-48	553.9946917
68	3.37E-48	555.8291187
68.1	1.55E-48	552.3950711
68.2	5.76E-49	544.0349487
68.3	9.36E-50	530.803745
68.4	-1.22E-49	512.9562402
68.5	-1.96E-49	491.0463584
68.6	-2.02E-49	464.9381078
68.7	-1.78E-49	435.5870295
68.8	-1.44E-49	402.9233971
68.9	-1.11E-49	367.5004283
69	-8.29E-50	330.1268172
69.1	-6.01E-50	290.4714359
69.2	-4.26E-50	249.8251875
69.3	-2.97E-50	208.1567183
69.4	-2.04E-50	165.7595992
69.5	-1.38E-50	123.7221896
69.6	-9.26E-51	81.54737389
69.7	-6.13E-51	40.403255
69.8	-4.02E-51	0.272929577
69.9	-2.60E-51	-38.51878018
70	-1.67E-51	-75.37060093
70.1	-1.06E-51	-110.5818269
70.2	-6.70E-52	-143.3965786
70.3	-4.18E-52	-173.8523989
70.4	-2.58E-52	-201.7830976
70.5	-1.57E-52	-226.9685391
70.6	-9.48E-53	-249.4464876
70.7	-5.64E-53	-269.0622199
70.8	-3.30E-53	-285.8300668
70.9	-1.90E-53	-299.7333598
71	-1.07E-53	-310.8463911
71.1	-5.87E-54	-319.140804
71.2	-3.11E-54	-324.7885596
71.3	-1.56E-54	-327.8436322
71.4	-7.25E-55	-328.3779989
71.5	-2.88E-55	-326.648063
71.6	-7.28E-56	-322.6290874
71.7	2.31E-56	-316.6353913
71.8	5.78E-56	-308.7339154
71.9	6.32E-56	-299.0725269
72	5.63E-56	-287.946934
72.1	4.54E-56	-275.344083
72.2	3.46E-56	-261.6188482
72.3	2.53E-56	-246.8080928
72.4	1.79E-56	-231.1395123
72.5	1.25E-56	-214.7581256
72.6	8.49E-57	-197.7729193
72.7	5.69E-57	-180.3939212
72.8	3.76E-57	-162.7843102
72.9	2.46E-57	-145.0537509
73	1.59E-57	-127.2806987
73.1	1.01E-57	-109.5791006
73.2	6.41E-58	-92.16886467
73.3	4.02E-58	-75.04915356
73.4	2.49E-58	-58.33370342
73.5	1.53E-58	-42.17899174
73.6	9.30E-59	-26.53451121
73.7	5.59E-59	-11.58779633
73.8	3.33E-59	2.655280217
73.9	1.96E-59	16.14238719
74	1.14E-59	28.77640831
74.1	6.51E-60	40.59664305
74.2	3.66E-60	51.49859298
74.3	2.02E-60	61.48740035
74.4	1.09E-60	70.54675241
74.5	5.67E-61	78.64493941
74.6	2.83E-61	85.79610916
74.7	1.31E-61	91.98722185
74.8	5.41E-62	97.23041162
74.9	1.66E-62	101.5342178
75	-1.13E-65	104.9258317
75.1	-6.25E-63	107.4130966
75.2	-7.62E-63	109.0442407
75.3	-6.93E-63	109.8447237
75.4	-5.58E-63	109.8451514
75.5	-4.20E-63	109.11839
75.6	-3.02E-63	107.6722159
75.7	-2.10E-63	105.6009303
75.8	-1.43E-63	102.9343704
75.9	-9.51E-64	99.72541042
76	-6.23E-64	96.07406248
76.1	-4.02E-64	91.98367214
76.2	-2.56E-64	87.57702123
76.3	-1.61E-64	82.88127077
76.4	-1.01E-64	77.95415133
76.5	-6.20E-65	72.89823352
76.6	-3.79E-65	67.7535014
76.7	-2.29E-65	62.56583917
76.8	-1.37E-65	57.39950617
76.9	-8.13E-66	52.31973669
77	-4.77E-66	47.38154416
77.1	-2.77E-66	42.60580748
77.2	-1.59E-66	38.05884888
77.3	-9.01E-67	33.76019786
77.4	-5.03E-67	29.73718175
77.5	-2.77E-67	26.04467587
77.6	-1.49E-67	22.66369167
77.7	-7.89E-68	19.63754401
77.8	-4.05E-68	16.96617348
77.9	-1.99E-68	14.64823145
