        Frequency / MHz                S2,2 (Mesh Pass=6)/abs,dB
                  144.52                      -18.325908
                  144.78                      -18.292443
               145.03999                      -18.260797
                   145.3                      -18.230951
                  145.56                      -18.202906
               145.81999                      -18.176679
                  146.08                      -18.152281
                  146.34                      -18.129706
               146.60001                      -18.108926
                  146.86                      -18.089893
                  147.12                      -18.072557
                  147.38                      -18.056877
                  147.64                      -18.042841
               147.89999                       -18.03045
                  148.16                      -18.019719
                  148.42                      -18.010654
               148.67999                       -18.00324
                  148.94                      -17.997441
                   149.2                      -17.993203
               149.46001                      -17.990476
                  149.72                      -17.989225
                  149.98                       -17.98944
               150.24001                      -17.991132
                   150.5                      -17.994315
               150.75999                      -17.998992
                  151.02                       -18.00514
                  151.28                      -18.012714
               151.53999                      -18.021657
                   151.8                       -18.03192
                  152.06                      -18.043472
               152.31999                      -18.056314
                  152.58                      -18.070462
                  152.84                      -18.085931
               153.10001                      -18.102718
                  153.36                       -18.12079
                  153.62                      -18.140094
                  153.88                      -18.160564
                  154.14                      -18.182153
               154.39999                       -18.20484
                  154.66                      -18.228632
                  154.92                       -18.25355
               155.17999                      -18.279611
                  155.44                      -18.306802
                   155.7                      -18.335077
               155.96001                      -18.364365
                  156.22                      -18.394596
                  156.48                      -18.425721
               156.74001                      -18.457726
                     157                      -18.490631
               157.25999                      -18.524464
                  157.52                      -18.559238
                  157.78                      -18.594923
               158.03999                      -18.631452
                   158.3                      -18.668733
                  158.56                      -18.706683
               158.81999                      -18.745253
                  159.08                      -18.784444
                  159.34                      -18.824291
               159.60001                      -18.864831
                  159.86                      -18.906067
                  160.12                      -18.947948
                  160.38                      -18.990368
                  160.64                        -19.0332
               160.89999                      -19.076344
                  161.16                      -19.119756
                  161.42                       -19.16346
               161.67999                      -19.207525
                  161.94                      -19.252009
                   162.2                      -19.296905
               162.46001                      -19.342119
                  162.72                      -19.387473
                  162.98                       -19.43277
               163.24001                      -19.477866
                   163.5                      -19.522731
               163.75999                      -19.567465
                  164.02                      -19.612257
                  164.28                       -19.65729
               164.53999                      -19.702645
                   164.8                      -19.748219
                  165.06                      -19.793719
               165.31999                      -19.838729
                  165.58                      -19.882822
                  165.84                      -19.925695
               166.10001                      -19.967258
                  166.36                      -20.007643
                  166.62                      -20.047144
                  166.88                      -20.086085
                  167.14                      -20.124696
               167.39999                      -20.163028
                  167.66                       -20.20093
                  167.92                      -20.238118
               168.17999                      -20.274267
                  168.44                      -20.309126
                   168.7                      -20.342575
               168.96001                      -20.374629
                  169.22                      -20.405383
                  169.48                      -20.434936
               169.74001                      -20.463314
                     170                      -20.490453
               170.25999                      -20.516209
                  170.52                      -20.540415
                  170.78                      -20.562942
               171.03999                      -20.583733
                   171.3                      -20.602803
                  171.56                      -20.620208
               171.81999                      -20.635992
                  172.08                      -20.650155
                  172.34                      -20.662637
               172.60001                      -20.673342
                  172.86                      -20.682172
                  173.12                      -20.689069
                  173.38                      -20.694028
                  173.64                       -20.69709
               173.89999                      -20.698312
                  174.16                      -20.697734
                  174.42                      -20.695356
               174.67999                      -20.691142
                  174.94                      -20.685042
                   175.2                      -20.677016
               175.46001                      -20.667065
                  175.72                      -20.655226
                  175.98                      -20.641566
               176.24001                      -20.626151
                   176.5                      -20.609026
               176.75999                      -20.590204
                  177.02                      -20.569677
                  177.28                      -20.547434
               177.53999                      -20.523483
                   177.8                      -20.497864
                  178.06                      -20.470645
               178.31999                      -20.441906
                  178.58                      -20.411718
                  178.84                      -20.380128
               179.10001                      -20.347162
                  179.36                      -20.312835
                  179.62                      -20.277165
                  179.88                      -20.240193
                  180.14                      -20.201984
               180.39999                      -20.162623
                  180.66                      -20.122196
                  180.92                      -20.080776
               181.17999                      -20.038419
                  181.44                      -19.995165
                   181.7                      -19.951054
               181.96001                      -19.906139
                  182.22                      -19.860491
                  182.48                      -19.814208
               182.74001                      -19.767399
                     183                      -19.720169
               183.25999                      -19.672621
                  183.52                      -19.624838
                  183.78                      -19.576906
               184.03999                      -19.528914
                   184.3                      -19.480969
                  184.56                      -19.433201
               184.81999                      -19.385753
                  185.08                      -19.338773
                  185.34                      -19.292403
               185.60001                      -19.246769
                  185.86                      -19.201979
                  186.12                       -19.15813
                  186.38                      -19.115311
                  186.64                      -19.073609
               186.89999                      -19.033102
                  187.16                      -18.993858
                  187.42                      -18.955915
               187.67999                      -18.919278
                  187.94                      -18.883914
                   188.2                      -18.849754
               188.46001                      -18.816708
                  188.72                      -18.784673
                  188.98                      -18.753538
               189.24001                      -18.723196
                   189.5                      -18.693534
               189.75999                      -18.664435
                  190.02                      -18.635778
                  190.28                       -18.60744
               190.53999                      -18.579299
                   190.8                      -18.551255
                  191.06                      -18.523224
               191.31999                       -18.49515
                  191.58                      -18.466998
                  191.84                      -18.438746
               192.10001                      -18.410379
                  192.36                      -18.381885
                  192.62                      -18.353252
                  192.88                      -18.324476
                  193.14                      -18.295563
               193.39999                      -18.266534
                  193.66                      -18.237422
                  193.92                      -18.208268
               194.17999                       -18.17911
                  194.44                      -18.149984
                   194.7                      -18.120917
               194.96001                      -18.091927
                  195.22                      -18.063035
                  195.48                      -18.034267
               195.74001                      -18.005653
                     196                       -17.97723
               196.25999                      -17.949036
                  196.52                      -17.921101
                  196.78                      -17.893451
               197.03999                      -17.866101
                   197.3                      -17.839061
                  197.56                      -17.812344
               197.81999                      -17.785964
                  198.08                      -17.759943
                  198.34                      -17.734305
               198.60001                      -17.709074
                  198.86                      -17.684268
                  199.12                      -17.659895
                  199.38                      -17.635957
                  199.64                      -17.612455
               199.89999                      -17.589393
                  200.16                      -17.566778
                  200.42                      -17.544624
               200.67999                      -17.522944
                  200.94                       -17.50175
                   201.2                      -17.481049
               201.46001                      -17.460841
                  201.72                      -17.441118
                  201.98                      -17.421876
               202.24001                      -17.403111
                   202.5                      -17.384828
               202.75999                      -17.367034
                  203.02                      -17.349737
                  203.28                      -17.332939
               203.53999                       -17.31664
                   203.8                      -17.300831
                  204.06                        -17.2855
               204.31999                      -17.270641
                  204.58                      -17.256248
                  204.84                      -17.242322
               205.10001                      -17.228865
                  205.36                       -17.21588
                  205.62                      -17.203366
                  205.88                      -17.191313
                  206.14                      -17.179712
               206.39999                      -17.168548
                  206.66                      -17.157811
                  206.92                      -17.147498
               207.17999                      -17.137604
                  207.44                      -17.128134
                   207.7                      -17.119084
               207.96001                       -17.11045
                  208.22                      -17.102219
                  208.48                      -17.094378
               208.74001                      -17.086915
                     209                      -17.079817
               209.25999                      -17.073083
                  209.52                       -17.06671
                  209.78                      -17.060698
               210.03999                      -17.055043
                   210.3                      -17.049735
                  210.56                      -17.044763
               210.81999                      -17.040112
                  211.08                      -17.035772
                  211.34                       -17.03173
               211.60001                      -17.027986
                  211.86                      -17.024539
                  212.12                      -17.021386
                  212.38                      -17.018521
                  212.64                      -17.015936
               212.89999                      -17.013614
                  213.16                      -17.011543
                  213.42                      -17.009713
               213.67999                      -17.008118
                  213.94                      -17.006753
                   214.2                       -17.00562
               214.46001                      -17.004713
                  214.72                      -17.004028
                  214.98                      -17.003549
               215.24001                      -17.003268
                   215.5                      -17.003169
               215.75999                      -17.003244
                  216.02                      -17.003489
                  216.28                      -17.003901
               216.53999                       -17.00448
                   216.8                      -17.005221
                  217.06                      -17.006116
               217.31999                      -17.007151
                  217.58                      -17.008315
                  217.84                      -17.009598
               218.10001                      -17.010991
                  218.36                      -17.012491
                  218.62                      -17.014098
                  218.88                      -17.015809
                  219.14                      -17.017619
               219.39999                      -17.019521
                  219.66                      -17.021499
                  219.92                      -17.023542
               220.17999                       -17.02564
                  220.44                       -17.02779
                   220.7                       -17.02999
               220.96001                      -17.032238
                  221.22                      -17.034532
                  221.48                      -17.036867
               221.74001                      -17.039229
                     222                      -17.041608
               222.25999                      -17.043995
                  222.52                       -17.04638
                  222.78                      -17.048762
               223.03999                      -17.051139
                   223.3                      -17.053512
                  223.56                      -17.055876
               223.81999                      -17.058224
                  224.08                      -17.060544
                  224.34                      -17.062827
               224.60001                      -17.065062
                  224.86                      -17.067245
                  225.12                      -17.069375
                  225.38                      -17.071453
                  225.64                      -17.073477
               225.89999                       -17.07544
                  226.16                      -17.077337
                  226.42                      -17.079157
               226.67999                      -17.080889
                  226.94                      -17.082527
                   227.2                      -17.084067
               227.46001                       -17.08551
                  227.72                      -17.086857
                  227.98                      -17.088106
               228.24001                      -17.089252
                   228.5                      -17.090285
               228.75999                      -17.091195
                  229.02                      -17.091975
                  229.28                      -17.092619
               229.53999                      -17.093127
                   229.8                        -17.0935
                  230.06                      -17.093739
               230.31999                      -17.093841
                  230.58                        -17.0938
                  230.84                      -17.093608
               231.10001                      -17.093254
                  231.36                      -17.092733
                  231.62                      -17.092043
                  231.88                      -17.091184
                  232.14                      -17.090158
               232.39999                      -17.088966
                  232.66                      -17.087605
                  232.92                      -17.086069
               233.17999                      -17.084347
                  233.44                      -17.082433
                   233.7                      -17.080325
               233.96001                      -17.078019
                  234.22                       -17.07552
                  234.48                       -17.07283
               234.74001                      -17.069949
                     235                      -17.066874
               235.25999                      -17.063597
                  235.52                      -17.060112
                  235.78                      -17.056411
               236.03999                      -17.052496
                   236.3                      -17.048367
                  236.56                       -17.04403
               236.81999                      -17.039485
                  237.08                      -17.034733
                  237.34                       -17.02977
               237.60001                      -17.024589
                  237.86                      -17.019187
                  238.12                      -17.013558
                  238.38                      -17.007703
                  238.64                      -17.001632
               238.89999                      -16.995343
                  239.16                      -16.988843
                  239.42                      -16.982131
               239.67999                      -16.975202
                  239.94                      -16.968051
                   240.2                      -16.960676
               240.46001                      -16.953074
                  240.72                      -16.945253
                  240.98                      -16.937217
               241.24001                      -16.928972
                   241.5                      -16.920523
               241.75999                      -16.911865
                  242.02                      -16.902997
                  242.28                      -16.893917
               242.53999                      -16.884623
                   242.8                      -16.875116
                  243.06                      -16.865406
               243.31999                      -16.855497
                  243.58                      -16.845399
